Date,Conference,Game_Notes,Away_Team,Away_Team_Link,Away_Score,Home_Team,Home_Team_Link,Home_Score,OT,Box_Link,Metrics_Link,Day,Game_ID
2025-10-09,Non-Conference,,Clarkson,/reports/team/Clarkson/14,,Penn State,/reports/team/Penn-State/60,,,,,Thursday,2025-10-09_Penn State_Clarkson
2025-10-10,Hockey East,,Mass Lowell,/reports/team/Mass-Lowell/26,,Merrimack,/reports/team/Merrimack/29,,,,,Friday,2025-10-10_Merrimack_Mass.-Lowell
2025-10-10,"Ice Breaker (at Compton Family Ice Arena, Notre Dame, Ind.)",,Arizona State,/reports/team/Arizona-State/61,,Notre Dame,/reports/team/Notre-Dame/43,,,,,Friday,2025-10-10_Notre Dame_Arizona State
2025-10-10,"Ice Breaker (at Compton Family Ice Arena, Notre Dame, Ind.)",,Alaska,/reports/team/Alaska/4,,Quinnipiac,/reports/team/Quinnipiac/47,,,,,Friday,2025-10-10_Quinnipiac_Alaska
2025-10-10,Non-Conference,,Denver,/reports/team/Denver/20,,Air Force,/reports/team/Air-Force/1,,,,,Friday,2025-10-10_Air Force_Denver
2025-10-10,Non-Conference,,Colgate,/reports/team/Colgate/15,,Boston University,/reports/team/Boston-University/10,,,,,Friday,2025-10-10_Boston University_Colgate
2025-10-10,Non-Conference,,Long Island,/reports/team/Long-Island/62,,Canisius,/reports/team/Canisius/13,,,,,Friday,2025-10-10_Canisius_Long Island
2025-10-10,Non-Conference,,Western Michigan,/reports/team/Western-Michigan/57,,Ferris State,/reports/team/Ferris-State/21,,,,,Friday,2025-10-10_Ferris State_Western Michigan
2025-10-10,Non-Conference,,New Hampshire,/reports/team/New-Hampshire/38,,Michigan State,/reports/team/Michigan-State/32,,,,,Friday,2025-10-10_Michigan State_New Hampshire
2025-10-10,Non-Conference,,Boston College,/reports/team/Boston-College/9,,Minnesota,/reports/team/Minnesota/34,,,,,Friday,2025-10-10_Minnesota_Boston College
2025-10-10,Non-Conference,,Augustana,/reports/team/Augustana/64,,Minnesota Duluth,/reports/team/Minnesota-Duluth/36,,,,,Friday,2025-10-10_Minnesota-Duluth_Augustana
2025-10-10,Non-Conference,,Minnesota State,/reports/team/Minnesota-State/35,,Omaha,/reports/team/Omaha/37,,,,,Friday,2025-10-10_Omaha_Minnesota State
2025-10-10,Non-Conference,,Bowling Green,/reports/team/Bowling-Green/11,,Niagara,/reports/team/Niagara/39,,,,,Friday,2025-10-10_Niagara_Bowling Green
2025-10-10,Non-Conference,,St Thomas,/reports/team/St-Thomas/63,,North Dakota,/reports/team/North-Dakota/40,,,,,Friday,2025-10-10_North Dakota_St. Thomas
2025-10-10,Non-Conference,,Army,/reports/team/Army/6,,Northeastern,/reports/team/Northeastern/41,,,,,Friday,2025-10-10_Northeastern_Army
2025-10-10,Non-Conference,,Northern Michigan,/reports/team/Northern-Michigan/42,,Ohio State,/reports/team/Ohio-State/44,,,,,Friday,2025-10-10_Ohio State_Northern Michigan
2025-10-10,Non-Conference,,Michigan,/reports/team/Michigan/31,,Providence,/reports/team/Providence/46,,,,,Friday,2025-10-10_Providence_Michigan
2025-10-10,Non-Conference,,Clarkson,/reports/team/Clarkson/14,,Penn State,/reports/team/Penn-State/60,,,,,Friday,2025-10-10_Penn State_Clarkson
2025-10-10,Non-Conference,,Bentley,/reports/team/Bentley/8,,Colorado College,/reports/team/Colorado-College/16,,,,,Friday,2025-10-10_Colorado College_Bentley
2025-10-10,Non-Conference,,Holy Cross,/reports/team/Holy-Cross/23,,Maine,/reports/team/Maine/25,,,,,Friday,2025-10-10_Maine_Holy Cross
2025-10-10,Non-Conference,,Union,/reports/team/Union/54,,Mercyhurst,/reports/team/Mercyhurst/28,,,,,Friday,2025-10-10_Mercyhurst_Union
2025-10-10,Non-Conference,,Massachusetts,/reports/team/Massachusetts/27,,Stonehill,/reports/team/Stonehill/422,,,,,Friday,2025-10-10_Stonehill_Massachusetts
2025-10-10,Non-Conference,,Miami,/reports/team/Miami/30,,RPI,/reports/team/RPI/48,,,,,Friday,2025-10-10_RPI_Miami
2025-10-10,Non-Conference,,St Lawrence,/reports/team/St-Lawrence/53,,Vermont,/reports/team/Vermont/55,,,,,Friday,2025-10-10_Vermont_St. Lawrence
2025-10-10,Non-Conference,,Lindenwood,/reports/team/Lindenwood/433,,Lake Superior,/reports/team/Lake-Superior/24,,,,,Friday,2025-10-10_Lake Superior_Lindenwood
2025-10-10,Non-Conference,,St Cloud State,/reports/team/St-Cloud-State/52,,Bemidji State,/reports/team/Bemidji-State/7,,,,,Friday,2025-10-10_Bemidji State_St. Cloud State
2025-10-10,Atlantic Hockey,,Sacred Heart,/reports/team/Sacred-Heart/51,,RIT,/reports/team/RIT/49,,,,,Friday,2025-10-10_RIT_Sacred Heart
2025-10-11,"Ice Breaker (at Mullett Arena, Tempe, Ariz.)",,TBD,,,Arizona State,/reports/team/Arizona-State/61,,,,,Saturday,2025-10-11_Arizona State_TBD
2025-10-11,"Ice Breaker (at Mullett Arena, Tempe, Ariz.)",,Quinnipiac,/reports/team/Quinnipiac/47,,TBD,,,,,,Saturday,2025-10-11_TBD_Quinnipiac
2025-10-11,"Ice Breaker (at Mullett Arena, Tempe, Ariz.)",,Notre Dame,/reports/team/Notre-Dame/43,,TBD,,,,,,Saturday,2025-10-11_TBD_Notre Dame
2025-10-11,"Ice Breaker (at Mullett Arena, Tempe, Ariz.)",,Alaska,/reports/team/Alaska/4,,TBD,,,,,,Saturday,2025-10-11_TBD_Alaska
2025-10-11,Non-Conference,,Colorado College,/reports/team/Colorado-College/16,,Air Force,/reports/team/Air-Force/1,,,,,Saturday,2025-10-11_Air Force_Colorado College
