Player,Yr.,Pos.,Old Team,New Team,Stats
Freddie Halyk,So,G,Denver,Brown,"9 gm, 2.08, .915"
Noah Houle,Fr,D,Lindenwood,Clarkson,"4-12—16, +7"
Isaiah Norlin,Fr,D,Omaha,Colgate,"0-1—1, -2"
Luke Ashton,Fr,D,Minnesota State,Cornell,"5-8—13, +10"
Michael Fisher,Fr,D,Northeastern (2024),Cornell,"1-1—2, -9"
William Gilson,Sr,D,Rensselaer,Quinnipiac,"8-16—24, +6"
Tyler Wallace,So,F,Niagara,RPI,"14-12—26, +5"
Luc Wilson,Jr,F,Minnesota State,RPI,"7-6—13, 0"
Alfred Lindberg,So,F,American Int'l,RPI,"7-4—11, -17"
Ethan Bono,So,F,Merrimack,RPI,"5-4—9, 0"
Cole Gordon,So,F,Arizona State,RPI,"3-2—5, -4"
Filip Sitar,Fr,F,Connecticut,RPI,"1-2—3, -5"
Jack Gorton,So,F,Boston University,RPI,"0-0—0, -1"
Trevor Russell,Sr,D,Michigan Tech,RPI,"0-0—0, 0"
Gunnar VanDamme,So,D,Alaska-Anchorage,RPI,"2-4—6, -12"
Kaz Sobieski,Fr,D,Massachusetts,RPI,"0-0—0, +1"
Bruno Bruveris,So,G,Miami,RPI,"19 gm, 4.14, .866"
Frankie Carogioiello,Jr,F,Miami,St. Lawrence,"1-1—2, -12"
Jack Babbage,Sr,D,New Hampshire,St. Lawrence,"1-0—1, -5"
Luke Buss,Fr,F,Wisconsin,Union,"0-0—0, -2"
Will Felicio,Fr,D,Michigan,Union,"2-9—11, +12"
Carter Rose,So,D,Clarkson,Union,"0-2—2, +3"
Tyler Dunbar,So,D,Colorado College,Union,"0-1—1, +1"
Cameron Korpi,Fr,G,Michigan,Union,"18 gm, 3.08, .904"
Michael Mesic,Fr,F,Northern Michigan (2024),Bentley,"4-5—9, -8"
Dylan Cook,Fr,F,Mass.-Lowell,Bentley,"0-0—0, 0"
Jack Dalton,So,D,Maine,Bentley,"0-5—5, -3"
