Date,Conference,Game_Notes,Away_Team,Away_Team_Link,Away_Score,Home_Team,Home_Team_Link,Home_Score,OT,Box_Link,Metrics_Link,Day,Game_ID
2025-10-11,Non-Conference,,Lindenwood,/reports/team/Lindenwood/433,7,Lake Superior,/reports/team/Lake-Superior/24,4,,/box/final/20251011/lin/lss/,/box/metrics.php?gd=111154,Saturday,2025-10-11_Lake Superior_Lindenwood
2025-10-11,Non-Conference,,Miami,/reports/team/Miami/30,5,RPI,/reports/team/RPI/48,0,,/box/final/20251011/mia/ren/,/box/metrics.php?gd=110575,Saturday,2025-10-11_RPI_Miami
2025-10-11,Non-Conference,,Augustana,/reports/team/Augustana/64,4,Minnesota Duluth,/reports/team/Minnesota-Duluth/36,0,,/box/final/20251011/aug/mnd/,/box/metrics.php?gd=110476,Saturday,2025-10-11_Minnesota-Duluth_Augustana
2025-10-11,Non-Conference,,Minnesota State,/reports/team/Minnesota-State/35,4,Omaha,/reports/team/Omaha/37,1,,/box/final/20251011/mns/uno/,/box/metrics.php?gd=110595,Saturday,2025-10-11_Omaha_Minnesota State
2025-10-11,Non-Conference,,Bemidji State,/reports/team/Bemidji-State/7,2,St Cloud State,/reports/team/St-Cloud-State/52,4,,/box/final/20251011/bmj/stc/,/box/metrics.php?gd=110748,Saturday,2025-10-11_St. Cloud State_Bemidji State
2025-10-11,Non-Conference,,Long Island,/reports/team/Long-Island/62,6,Canisius,/reports/team/Canisius/13,1,,/box/final/20251011/liu/cns/,/box/metrics.php?gd=110756,Saturday,2025-10-11_Canisius_Long Island
2025-10-11,Non-Conference,,Bentley,/reports/team/Bentley/8,0,Denver,/reports/team/Denver/20,6,,/box/final/20251011/ben/den/,/box/metrics.php?gd=110517,Saturday,2025-10-11_Denver_Bentley
2025-10-11,Non-Conference,,Holy Cross,/reports/team/Holy-Cross/23,0,Maine,/reports/team/Maine/25,6,,/box/final/20251011/hcr/mne/,/box/metrics.php?gd=110900,Saturday,2025-10-11_Maine_Holy Cross
2025-10-11,Non-Conference,,Michigan,/reports/team/Michigan/31,3,Providence,/reports/team/Providence/46,1,,/box/final/20251011/mic/prv/,/box/metrics.php?gd=110700,Saturday,2025-10-11_Providence_Michigan
2025-10-11,Atlantic Hockey,,Sacred Heart,/reports/team/Sacred-Heart/51,6,RIT,/reports/team/RIT/49,1,,/box/final/20251011/sac/rit/,/box/metrics.php?gd=110714,Saturday,2025-10-11_RIT_Sacred Heart
2025-10-12,Non-Conference,,Vermont,/reports/team/Vermont/55,2,St Lawrence,/reports/team/St-Lawrence/53,5,,/box/final/20251012/ver/stl/,/box/metrics.php?gd=111159,Sunday,2025-10-12_St. Lawrence_Vermont
2025-10-12,Non-Conference,,Stonehill,/reports/team/Stonehill/422,1,Army,/reports/team/Army/6,6,,/box/final/20251012/stn/arm/,/box/metrics.php?gd=110803,Sunday,2025-10-12_Army_Stonehill
2025-10-12,Non-Conference,"at Xcel Energy Center, St. Paul, Minn.",St Thomas,/reports/team/St-Thomas/63,2,North Dakota,/reports/team/North-Dakota/40,5,,/box/final/20251012/stt/ndk/,/box/metrics.php?gd=110647,Sunday,2025-10-12_North Dakota_St. Thomas
2025-10-14,Atlantic Hockey,,Canisius,/reports/team/Canisius/13,3,Army,/reports/team/Army/6,1,,/box/final/20251014/cns/arm/,/box/metrics.php?gd=110757,Tuesday,2025-10-14_Army_Canisius
2025-10-15,Exhibition,,Univerzitni,,0,Yale,/reports/team/Yale/59,6,,,,Wednesday,2025-10-15_Yale_Univerzitni
2025-10-16,Non-Conference,,Robert Morris,/reports/team/Robert-Morris/50,2,Michigan,/reports/team/Michigan/31,4,,/box/final/20251016/rmu/mic/,/box/metrics.php?gd=110701,Thursday,2025-10-16_Michigan_Robert Morris
2025-10-16,Non-Conference,,St Lawrence,/reports/team/St-Lawrence/53,2,Notre Dame,/reports/team/Notre-Dame/43,8,,/box/final/20251016/stl/ndm/,/box/metrics.php?gd=111160,Thursday,2025-10-16_Notre Dame_St. Lawrence
2025-10-16,Non-Conference,,Minnesota State,/reports/team/Minnesota-State/35,1,Wisconsin,/reports/team/Wisconsin/58,1,ot,/box/final/20251016/mns/wis/,/box/metrics.php?gd=110596,Thursday,2025-10-16_Wisconsin_Minnesota State
2025-10-17,Exhibition,,Simon Fraser,,2,Ferris State,/reports/team/Ferris-State/21,3,ot,,,Friday,2025-10-17_Ferris State_Simon Fraser
2025-10-17,Exhibition,,Univerzitni,,2,Cornell,/reports/team/Cornell/18,7,,,,Friday,2025-10-17_Cornell_Univerzitni
2025-10-17,Exhibition,,Lake Superior,/reports/team/Lake-Superior/24,6,US Under 18,,2,,,,Friday,2025-10-17_US Under-18_Lake Superior
2025-10-17,Exhibition,,Windsor,,3,Bowling Green,/reports/team/Bowling-Green/11,6,,,,Friday,2025-10-17_Bowling Green_Windsor
2025-10-17,Hockey East,,Northeastern,/reports/team/Northeastern/41,4,Massachusetts,/reports/team/Massachusetts/27,2,,/box/final/20251017/noe/uma/,/box/metrics.php?gd=110542,Friday,2025-10-17_Massachusetts_Northeastern
2025-10-17,Non-Conference,,Michigan State,/reports/team/Michigan-State/32,4,Boston University,/reports/team/Boston-University/10,2,,/box/final/20251017/msu/bu_/,/box/metrics.php?gd=111126,Friday,2025-10-17_Boston University_Michigan State
