Clean_Player,Team,G,A,Pts,plus_minus,Sh,TOI_sec,PIM,FOW,FOL,Games_Played,FO%,TOI
Uula Ruikka,Augustana,2,6,8,5,53,28069.0,12,0.0,0.0,24,,07:47:49
Valtteri Piironen,Long Island,1,7,8,1,30,42207.0,8,0.0,1.0,32,0.0,11:43:27
Vann Yuhas,Merrimack,2,0,2,-4,8,10974.0,21,0.0,1.0,16,0.0,03:02:54
Verner Miettinen,St. Cloud State,8,13,21,-5,56,37869.0,10,296.0,247.0,36,54.51197053406999,10:31:09
Victor Czerneckianair,Quinnipiac,7,9,16,23,46,38780.0,21,336.0,257.0,38,56.66104553119731,10:46:20
Viking Gustafsson Nyberg,Connecticut,1,10,11,9,36,43806.0,27,0.0,0.0,39,,12:10:06
Viktor Hurtig,Michigan Tech,1,4,5,-7,28,38135.0,10,1.0,0.0,35,100.0,10:35:35
Ville Immonen,Bowling Green,6,10,16,-1,56,31679.0,4,264.0,244.0,36,51.96850393700787,08:47:59
Vince Corcoran,Bemidji State,1,8,9,5,39,32294.0,8,0.0,0.0,30,,08:58:14
Vincent Salice,Army,6,8,14,0,79,27935.0,6,1.0,0.0,35,100.0,07:45:35
Vinny Borgesi,Northeastern,5,17,22,1,71,53917.0,16,13.0,4.0,32,76.47058823529412,14:58:37
Vitaly Levyy,Sacred Heart,0,1,1,0,9,4339.0,2,1.0,5.0,9,16.666666666666664,01:12:19
Vladislav Lukashevich,Michigan State,1,6,7,11,26,20412.0,4,0.0,0.0,29,,05:40:12
Walter Zacher,Robert Morris,15,9,24,3,109,37185.0,21,8.0,13.0,35,38.095238095238095,10:19:45
Warren Clark,St. Cloud State,1,3,4,-2,16,10256.0,0,0.0,0.0,20,,02:50:56
Weston Knox,Wisconsin,0,3,3,1,7,7253.0,4,0.0,0.0,11,,02:00:53
Wilhelm Forsberg,American Int'l,1,5,6,0,16,13158.0,6,0.0,0.0,20,,03:39:18
Will Arquiett,St. Lawrence,4,2,6,-5,21,19907.0,10,25.0,9.0,27,73.52941176470588,05:31:47
Will Craig,Omaha,0,0,0,0,0,0.0,0,0.0,0.0,1,,00:00:00
Will Dawson,Air Force,2,8,10,0,58,24625.0,10,0.0,0.0,34,,06:50:25
Will Diamond,Northern Michigan,1,0,1,-4,13,12259.0,21,1.0,3.0,22,25.0,03:24:19
Will Elger,Providence,8,10,18,5,62,30520.0,4,3.0,8.0,36,27.27272727272727,08:28:40
Will Felicio,Michigan,2,9,11,12,15,11689.0,2,0.0,0.0,25,,03:14:49
Will Francis,Minnesota-Duluth,0,0,0,-3,4,1701.0,5,0.0,0.0,5,,00:28:21
Will Gilson,Rensselaer,8,16,24,6,95,43287.0,26,0.0,0.0,35,,12:01:27
Will Hilfiker,Alaska,0,0,0,5,1,6300.0,15,0.0,0.0,11,,01:45:00
Will Hillman,Minnesota State,3,6,9,7,56,33415.0,23,181.0,277.0,39,39.519650655021834,09:16:55
Will Horcoff,Michigan,4,6,10,-4,44,15621.0,6,3.0,5.0,18,37.5,04:20:21
Will Howard,Augustana,1,2,3,-4,26,12443.0,6,3.0,5.0,18,37.5,03:27:23
Will Hughes,Harvard,1,1,2,-7,24,21917.0,6,138.0,170.0,31,44.8051948051948,06:05:17
Will Jones,Air Force,0,0,0,1,0,765.0,0,0.0,0.0,3,,00:12:45
